"ISBN","도서명","원도서명","출판사","정가","위치코드","위치설명","정품","반품","창고재고","재고구분","위험재고","거래상태","재고매칭"
"9788998185831","[2017] 대입수능 회계원리","[2017] 대입수능 회계원리 (B311)","도서출판 파스칼","13000","B311","B동 3번 라인, 앞에서 1번째, 1층","9","0","9","위험","위험","거래","일치"
"9791199582026","[완전최신판] 전산회계운용사대비 회계원리 입문편 (Ba21)","[완전최신판] 전산회계운용사대비 회계원리 입문편 (Ba21)","도서출판 파스칼","10500","","위치 정보가 없습니다.","185","0","185","","","거래","일치"
"9791187642480","[개정3판]배지윤의 아테나 유아교육과정 총론편","[개정3판]배지윤의 아테나 유아교육과정 총론편 (A131)","우리교과서","45000","A131","A동 1번 라인, 앞에서 3번째, 1층","0","1","1","위험","위험","거래","일치"
"9791167852946","가족이 먼저 시작하는 치매 예방수업","가족이 먼저 시작하는 치매 예방수업 (B421)","슬로디미디어","16800","B421","B동 4번 라인, 앞에서 2번째, 1층","143","0","143","","","거래","일치"
"9791199504509","인곡본초 5 -민들레-","인곡본초 5 -민들레-  (B221)","느티나무가 있는 풍경","23000","B221","B동 2번 라인, 앞에서 2번째, 1층","130","0","130","","","거래","일치"
"9791187436386","오늘도 아날로그 입니다만","오늘도 아날로그 입니다만 (A351)","나무북스","18000","A351","A동 3번 라인, 앞에서 5번째, 1층","260","0","260","","","거래","일치"
"9791163262305","성품 바이블 (Aa31)","성품 바이블 (Aa31)","좋은나무성품학교","34000","","위치 정보가 없습니다.","77","0","77","","","거래","일치"
"9791191157185","장상철 2025-2016","장상철 2025-2016 (A342)","씨이오메이커","75000","A342","A동 3번 라인, 앞에서 4번째, 2층","29","0","29","위험","위험","거래","일치"
"9791191157178","모성의 재양육","모성의 재양육 (A352)","씨이오메이커","18000","A352","A동 3번 라인, 앞에서 5번째, 2층","794","1","795","","","거래","일치"
"9791191155679","대한민국 시골 풍속도","대한민국 시골 풍속도 (B182)","도서출판 서정문학","12000","B182","B동 1번 라인, 앞에서 8번째, 2층","11","0","11","위험","위험","거래","일치"
"9791199113671","뭐 어때! 멋지잖아","뭐 어때! 멋지잖아 (A322)","품","16800","A322","A동 3번 라인, 앞에서 2번째, 2층","807","1","808","","","거래","일치"
"9791188876686","시와 찬미와 신령한 노래","시와 찬미와 신령한 노래 (B532)","(주)글로벌워십미니스트리","28000","B532","B동 5번 라인, 앞에서 3번째, 2층","477","0","477","","","거래","일치"
"9791199582002","[2026] 한국세무사회 공인회계사회 공통대비 회계원리 입문편(Ba22)","[2026] 한국세무사회 공인회계사회 공통대비 회계원리 입문편(Ba22)","도서출판 파스칼","10500","","위치 정보가 없습니다.","1667","0","1667","","","거래","일치"
"9791199541320","항공 서비스 영어 (Ab24)","항공 서비스 영어 (Ab24)","두루 출판사","18000","","위치 정보가 없습니다.","2","0","2","위험","위험","거래","일치"
"9791199541313","항공 인터뷰 영어 (Ab24)","항공 인터뷰 영어 (Ab24)","두루 출판사","19000","","위치 정보가 없습니다.","2","0","2","위험","위험","거래","일치"
"9791189256029","기문둔갑의 모든것 - 병방론","기문둔갑의 모든것 - 병방론 (B151)","태학당","43000","B151","B동 1번 라인, 앞에서 5번째, 1층","909","2","911","","","거래","일치"
"9791199472501","그날이 오면-짧은시 긴여운","그날이 오면-짧은시 긴여운 (B184)","디자인 존(도서출판 푸른산)","12000","B184","B동 1번 라인, 앞에서 8번째, 4층","4","0","4","위험","위험","거래","일치"
"9791199472556","집으로 향하는 동안에","집으로 향하는 동안에 (B184)","디자인 존(도서출판 푸른산)","10000","B184","B동 1번 라인, 앞에서 8번째, 4층","5","0","5","위험","위험","거래","일치"
"9791188574766","모든게 선물이야","모든게 선물이야 (A131)","나는별","16000","A131","A동 1번 라인, 앞에서 3번째, 1층","1109","0","1109","","","거래","일치"
"9791188876662","현대 예배의 역사는 무엇인가?","현대 예배의 역사는 무엇인가? (B662)","(주)글로벌워십미니스트리","18000","B662","B동 6번 라인, 앞에서 6번째, 2층","335","11","346","","","거래","일치"
"9791188876648","현대 예배와 찬양이란 무엇인가?","현대 예배와 찬양이란 무엇인가? (B662)","(주)글로벌워십미니스트리","18000","B662","B동 6번 라인, 앞에서 6번째, 2층","337","0","337","","","거래","일치"
"9791167852908","식품 브랜드 창업, 어디서부터 시작하죠?","식품 브랜드 창업, 어디서부터 시작하죠? (B422)","슬로디미디어","18000","B422","B동 4번 라인, 앞에서 2번째, 2층","664","0","664","","","거래","일치"
